1	1.5e+06	0.00757194
0.99996	25000	0.007586
0.99997	33333.3	0.00755978
0.99998	50000	0.00756288
0.99999	100000	0.00756717
1.00001	3.26877e+11	0.00718498
1.00002	5.34163e+17	0.00756502
1.00003	1.16369e+24	0.00662088
1.00004	2.85159e+30	0.00756097
1.00006	2.02852e+43	0.00745916
1.00008	1.62242e+56	0.00756502
1.0001	1.3833e+69	0.00635791
1.00012	1.22782e+82	0.00759411
1.00014	1.12029e+95	0.00771689
1.00016	1.04284e+108	0.00756407
1.00018	9.85566e+120	0.00612283
1.0002	9.42513e+133	0.00755596
1.00022	9.099e+146	0.00759411
1.00024	8.85205e+159	0.00756812
1.00026	8.66682e+172	0.00538206
1.00028	8.53086e+185	0.00756693
1.0003	8.43503e+198	0.00754786
