1	1.5e+06	2.71797e-05	0.0004251
0.99996	25000	5.96046e-06	0.000399828
0.99997	33333.3	6.19888e-06	0.000386
0.99998	50000	5.00679e-06	0.000374079
0.99999	100000	6.91414e-06	0.000384092
1.00001	3.26877e+11	4.76837e-06	0.000375032
1.00002	5.34163e+17	9.05991e-06	0.000392914
1.00003	1.16369e+24	5.96046e-06	0.000374079
1.00004	2.85159e+30	5.96046e-06	0.000389814
1.00006	2.02852e+43	6.91414e-06	0.000380993
1.00008	1.62242e+56	7.15256e-06	0.000380993
1.0001	1.3833e+69	5.00679e-06	0.0003829
1.00012	1.22782e+82	5.00679e-06	0.000375986
1.00014	1.12029e+95	5.96046e-06	0.0003829
1.00016	1.04284e+108	5.00679e-06	0.000387907
1.00018	9.85566e+120	8.10623e-06	0.000380993
1.0002	9.42513e+133	5.00679e-06	0.000374794
1.00022	9.099e+146	8.10623e-06	0.000391006
1.00024	8.85205e+159	5.00679e-06	0.00037384
1.00026	8.66682e+172	5.00679e-06	0.000468016
1.00028	8.53086e+185	5.00679e-06	0.00037384
1.0003	8.43503e+198	5.00679e-06	0.000381947
